Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,2693.0,95.0,265.0,36.0,598.0,281.0,125.0,1400.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Baixo Amazonas,3992.0,159.0,566.0,122.0,1064.0,536.0,223.0,2670.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Carajás,3668.0,161.0,425.0,92.0,796.0,352.0,208.0,2034.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Guajará,13900.0,1006.0,2322.0,492.0,3647.0,2053.0,838.0,10358.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Guamá,4052.0,253.0,571.0,88.0,1060.0,406.0,178.0,2556.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Lago de Tucuruí,1819.0,64.0,248.0,23.0,500.0,142.0,99.0,1076.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Marajó,2116.0,132.0,248.0,41.0,489.0,210.0,69.0,1189.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Rio Caeté,2899.0,155.0,427.0,41.0,861.0,327.0,123.0,1934.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Rio Capim,3069.0,131.0,403.0,62.0,800.0,284.0,129.0,1809.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Tapajós,1414.0,56.0,123.0,34.0,197.0,139.0,63.0,612.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Tocantins,3654.0,182.0,515.0,57.0,910.0,501.0,160.0,2325.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Xingu,1966.0,76.0,230.0,31.0,467.0,194.0,92.0,1090.0,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Fonte: DATASUS,,,,,,,,,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
Elaboração: FAPESPA,,,,,,,,,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,1 Pará,18,Óbitos segundo Principais Causas (CID-10) - 2024 para,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 para.xlsx,RIS
