EstadoMunicpios,Leite_Mil_litros,Ovos_de_galinha_Mil_dzias,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,511007.0,39437.0,29.0,745689.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Araguaia,117195.0,559.0,0.0,16546.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Baixo Amazonas,34017.0,5283.0,18.0,11954.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Carajás,170734.0,792.0,0.0,50050.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Guajará,48.0,1047.0,0.0,2200.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Guamá,4376.0,23852.0,0.0,126125.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Lago de Tucuruí,62937.0,413.0,0.0,7231.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Marajó,9581.0,383.0,0.0,870.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Rio Caeté,1582.0,313.0,4.0,201968.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Rio Capim,34998.0,5408.0,0.0,283805.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Tapajós,6655.0,250.0,0.0,560.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Tocantins,3610.0,382.0,0.0,24760.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Xingu,65277.0,759.0,7.0,19620.0,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Fonte: IBGE/PPM,,,,,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Elaboração: FAPESPA,,,,,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,1 Pará,46,Producao de Origem Animal por Tipo - 2024 para,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 para.xlsx,RIS
