EstadoRIs,VA_Agropecuria,VA_Indstria,VA_Servios_exclusive_Administrao_Pblica,VA_Administrao_Pblica,VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,24296590644.0,1.1132113318200006e+16,6474338067100003.0,3973614317000002.0,2.400972476610001e+16,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Araguaia,3530966584.0,2508070298.0,3.881686141e+16,2.548029691e+16,12468752709.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Baixo Amazonas,2.6641754260000004e+16,2713374265.0,4778907329.0,3594114893999999.0,13750571912.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Carajás,1918340251.0,81470942343.0,1.297887231e+16,4446911232999999.0,1.00815066136e+16,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Guajará,139673986.0,5.296317048e+16,2.4577969137e+16,8624445737000002.0,3.863840591e+16,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Guamá,1.7136684299999996e+16,9805732210000000.0,3.4745280449999996e+16,3.103264473000001e+16,9272034169000002.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Lago de Tucuruí,1292702812.0,4445949455.0,1518517213.0,1984914492.0,9242083975000000.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Marajó,1.7556835329999998e+16,1.816921280000001e+16,8650878609999999.0,2.950461316000001e+16,5752924839000001.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Rio Caeté,972235525.0,560961938.0,1839991233.0,2.3182533570000004e+16,5691442050999999.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Rio Capim,3619678755.0,2.2335025730000004e+16,302695924.0,3.2148266840000004e+16,12094967251.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Tapajós,698481696.0,1.223451958e+16,1973515568.0,1.1810996039999998e+16,5076548824999999.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Tocantins,3.4132965330000004e+16,5223689548.0,3.511374114e+16,3.814880833e+16,15963241028.0,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Xingu,2.5776871130000004e+16,4482608407000001.0,2.3159724799999996e+16,1954940856.0,1.1331208856e+16,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
Fonte: FAPESPA/IBGE,,,,,,1 Pará,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 para,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 para.xlsx,RIS
