Par,col,1,3344,437,3782,1_2,19,6505,681,7206,3,480,7663,747,8893,21,718,2,261,1002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,-,-,94.0,23.0,117.0,-,-,193.0,37.0,230.0,-,5,314.0,37.0,356.0,1.0,39.0,-,19.0,59.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Baixo Amazonas,-,-,382.0,50.0,432.0,-,-,1032.0,59.0,1091.0,-,27,1136.0,59.0,1222.0,2.0,74.0,-,12.0,88.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Carajás,-,-,164.0,48.0,212.0,-,14,277.0,82.0,373.0,-,14,385.0,89.0,488.0,3.0,79.0,-,27.0,109.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Guajará,-,1,153.0,184.0,338.0,1,1,229.0,307.0,538.0,3,269,244.0,350.0,866.0,5.0,153.0,2,110.0,270.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Guamá,-,-,428.0,45.0,473.0,-,-,667.0,59.0,726.0,-,54,745.0,65.0,864.0,2.0,76.0,-,22.0,100.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Lago de Tucuruí,-,-,92.0,14.0,106.0,-,-,198.0,20.0,218.0,-,-,259.0,22.0,281.0,1.0,26.0,-,9.0,36.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Marajó,-,-,412.0,1.0,413.0,-,-,1032.0,1.0,1033.0,-,15,1180.0,2.0,1197.0,1.0,49.0,-,3.0,53.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Rio Caeté,-,-,256.0,11.0,267.0,-,-,500.0,25.0,525.0,-,49,610.0,26.0,685.0,1.0,56.0,-,10.0,67.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Rio Capim,-,-,532.0,19.0,551.0,-,4,750.0,27.0,781.0,-,24,830.0,29.0,883.0,1.0,56.0,-,12.0,69.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Tapajós,-,-,159.0,6.0,165.0,-,-,292.0,9.0,301.0,-,-,339.0,11.0,350.0,1.0,20.0,-,5.0,26.0,1 Pará,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
