Par,col,7,6417,1102,7510,11,38,11947,2073,14038,163,6399,47523,9017,61362,1126,11735,32,3075,15629,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,-,-,529.0,52.0,579.0,-,-,704.0,94.0,792.0,-,60,2677.0,435.0,3082.0,15.0,438.0,-,178.0,620.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Baixo Amazonas,-,-,628.0,120.0,743.0,-,-,1510.0,175.0,1683.0,-,356,6255.0,583.0,7096.0,94.0,1387.0,-,173.0,1639.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Carajás,-,-,515.0,117.0,631.0,-,21,893.0,252.0,1162.0,-,122,3728.0,1050.0,4842.0,126.0,935.0,-,311.0,1354.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Guajará,-,7,796.0,517.0,1317.0,11,12,1003.0,985.0,2003.0,163,3836,3366.0,4483.0,11463.0,425.0,3218.0,32,1665.0,5213.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Guamá,-,-,484.0,101.0,585.0,-,-,1228.0,203.0,1427.0,-,636,4128.0,858.0,5464.0,100.0,1271.0,-,297.0,1641.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Lago de Tucuruí,-,-,423.0,29.0,449.0,-,-,522.0,50.0,572.0,-,-,2166.0,247.0,2392.0,71.0,451.0,-,97.0,612.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Marajó,-,-,493.0,2.0,495.0,-,-,1602.0,2.0,1604.0,-,174,7270.0,21.0,7434.0,38.0,897.0,-,25.0,960.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Rio Caeté,-,-,350.0,32.0,382.0,-,-,830.0,71.0,901.0,-,674,3241.0,298.0,4131.0,47.0,1004.0,-,128.0,1159.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Rio Capim,-,-,640.0,30.0,670.0,-,5,1120.0,65.0,1189.0,-,335,4383.0,381.0,5020.0,52.0,1026.0,-,129.0,1199.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
Tapajós,-,-,260.0,22.0,282.0,-,-,573.0,18.0,591.0,-,-,1989.0,121.0,2087.0,41.0,238.0,-,48.0,318.0,1 Pará,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 para.xlsx",RIS
