EstadoMunicpio,Bovino,Bubalino,Equino,Suno__total,Suno__matrizes_de_sunos,Caprino,Ovino,Galinceos__Total,Galinceos__galinhas,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,25557665.0,775075.0,499639.0,587143.0,93157.0,61762.0,284632.0,26827658.0,2955828.0,1980.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Araguaia,8338696.0,6790.0,95902.0,84012.0,11644.0,7345.0,39509.0,550586.0,90633.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Baixo Amazonas,1559981.0,141741.0,60654.0,48655.0,8502.0,8777.0,30680.0,2826985.0,365594.0,1000.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Carajás,3939656.0,2174.0,66861.0,59806.0,15097.0,7081.0,54879.0,1122800.0,111169.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Guajará,4720.0,960.0,536.0,3873.0,188.0,208.0,2327.0,1887000.0,94100.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Guamá,298758.0,2418.0,7907.0,24679.0,1746.0,1093.0,5277.0,17076050.0,1603160.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Lago de Tucuruí,2893608.0,1345.0,50955.0,32047.0,5619.0,4536.0,33789.0,360400.0,63425.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Marajó,332811.0,544654.0,57105.0,80470.0,18088.0,11219.0,14530.0,242110.0,57372.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
o Caeté,412016.0,12714.0,10411.0,15978.0,1236.0,2520.0,6924.0,496390.0,47116.0,630.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
o Capim,1775706.0,4072.0,41166.0,52821.0,10041.0,6358.0,25590.0,785038.0,305014.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Tapajós,1680778.0,1949.0,23141.0,20466.0,2195.0,2829.0,23638.0,282745.0,41369.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Tocantins,433756.0,2854.0,6169.0,102253.0,11077.0,2152.0,7060.0,656200.0,62200.0,0.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Xingu,3887179.0,53404.0,78832.0,62083.0,7724.0,7644.0,40429.0,541354.0,114676.0,350.0,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Fonte: IBGE/PPM,,,,,,,,,,,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Elaboração: FAPESPA,,,,,,,,,,,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,,,,,,,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS
