Par,1445663,13001,27369,17213,69065,120790,63390,742285,27276,365274,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,79533.0,695.0,3820.0,2481.0,6165.0,6671.0,6339.0,38057.0,1186.0,14119.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Baixo Amazonas,104739.0,152.0,1450.0,784.0,3035.0,7706.0,3076.0,55234.0,2730.0,30572.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Carajás,201798.0,1090.0,3321.0,2416.0,9147.0,16456.0,8279.0,121065.0,3266.0,36758.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Guajará,579112.0,1433.0,5186.0,3891.0,15904.0,40201.0,23149.0,299647.0,12225.0,177476.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Guamá,90117.0,2257.0,2250.0,1359.0,5426.0,11185.0,5628.0,44568.0,1360.0,16084.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Lago de Tucuruí,34414.0,163.0,1056.0,420.0,1486.0,3056.0,1105.0,17146.0,413.0,9569.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Marajó,44051.0,3300.0,1552.0,974.0,2705.0,5473.0,1130.0,14114.0,641.0,14162.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Rio Caeté,59071.0,731.0,853.0,543.0,7843.0,5619.0,2606.0,27774.0,960.0,12142.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Rio Capim,86010.0,2191.0,4330.0,2159.0,6708.0,9925.0,4487.0,35921.0,1364.0,18925.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Tapajós,32822.0,258.0,773.0,493.0,1547.0,3851.0,1858.0,15343.0,1019.0,7680.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
Tocantins,98643.0,592.0,2058.0,1179.0,7481.0,6679.0,3735.0,55590.0,1094.0,20235.0,1 Pará,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - para.xlsx,RIS
