EstadoRIs,_Participao_PIB_Estadual,_Participao_VA_Agropecuria_Estadual,_Participao_VA_Industrial_Estadual,_Participao_VA_Servios_Estadual_Exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica_Estadual,_Participao_VA_Total_Estadual,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,100.0,100.0,100.0,100.0,100.0,100.0,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Araguaia,5402912870878165.0,1.4532765669622728e+16,2.2530046418944824e+16,5995494984614993.0,6412372937401008.0,5193209347657735.0,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Baixo Amazonas,5716436964169264.0,1.0965223331273902e+16,2.4374296123664824e+16,7381306443178331.0,9044951541027976.0,5727084356841446.0,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Carajás,3974512731335657.0,7895512086893273.0,7318551295179714.0,2.004663978848037e+16,1.1191099282019216e+16,4.1989263566379384e+16,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Guajará,1799465130768268.0,5748707217672626.0,4757692359581894.0,3796213432519906.0,2170428493802912.0,1.6092815009922408e+16,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Guamá,3991740557431525.0,7053123029107738.0,8808509156988644.0,5366615102563398.0,7809677098563763.0,3.861782781488374e+16,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Lago de Tucuruí,3.681218977073596e+16,5.3205111406000104e+16,3993805423927254.0,2.3454401009988916e+16,4995236914433534.0,3.849308588513749e+16,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Marajó,2263333637856525.0,7226048949520261.0,1.632144075491485e+16,1.3361796249040972e+16,7425132588679462.0,2396081127561576.0,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Rio Caeté,2379702104146212.0,4001530664303685.0,5039132480648374.0,2841975834332933.0,5834117687471577.0,2.3704736753317156e+16,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
Rio Capim,4960787542596014.0,1.4897887559767044e+16,2006359896955436.0,46753184783195.0,8090434620809221.0,5037528488488639.0,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS
