EstadoMunicpios,Populao_Total,Populao_menor_que_15_anos,Populao_entre_15_e_64_anos,Populao_maior_que_64_anos,Proporo_de_Idosos,Razo_de_Dependncia,ndice_de_Envelhecimento,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1999423.0,6029379.0,682394.0,7.833528254903229e+16,4447915780381363.0,3.4129546374128932e+16,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
RI Rio Capim,655013.0,155319.0,454794.0,44900.0,6854825782083715.0,440241076179545.0,2.8908246898318944e+16,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
Abel Figueiredo,6275.0,1505.0,4195.0,575.0,9163346613545816.0,4.958283671036949e+16,3.820598006644519e+16,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
Aurora do Pará,24193.0,6239.0,16159.0,1795.0,7419501508700864.0,497184231697506.0,2.8770636319923064e+16,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
Bujaru,25065.0,6336.0,16783.0,1946.0,7763814083383204.0,4934755407257344.0,3071338383838384.0,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
Capitão Poço,60318.0,13443.0,42305.0,4570.0,7.576511157531747e+16,4257889138399717.0,3399538793424087.0,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
Concórdia do Pará,28270.0,7161.0,19138.0,1971.0,6972055182171914.0,477165848050998.0,2.75240888144114e+16,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
Dom Eliseu,62823.0,15515.0,43545.0,3763.0,5989844483708196.0,4427144333448157.0,2425394779245891.0,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
Garrafão do Norte,25558.0,6048.0,17644.0,1866.0,7301040770013303.0,4485377465427341.0,3.0853174603174604e+16,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
Ipixuna do Pará,29264.0,8039.0,19123.0,2102.0,7182886823400765.0,5303038226219735.0,2.6147530787411372e+16,10 Rio Capim,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_rio_capim.xlsx,Rio Capim
