EstadoMunicpios,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
RI Rio Capim,332267.0,322746.0,1.0294999783111176e+16,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
Abel Figueiredo,3197.0,3078.0,1.0386614684860298e+16,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
Aurora do Pará,12360.0,11833.0,1.0445364658159384e+16,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
Bujaru,12739.0,12326.0,1.0335064092162906e+16,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
Capitão Poço,30778.0,29540.0,1.0419092755585646e+16,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
Concórdia do Pará,14301.0,13969.0,1023766912448994.0,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
Dom Eliseu,31068.0,31755.0,9783656117146906.0,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
Garrafão do Norte,13185.0,12373.0,1.0656267679624988e+16,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
Ipixuna do Pará,15122.0,14142.0,1.0692971291189366e+16,10 Rio Capim,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_rio_capim.xlsx,Rio Capim
