Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,3069.0,4699616557840963.0,6083414793092212.0,3.9100684261974584e+16,6516780710329090.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,37.0,5.87115201523326e+16,5945945945945946.0,4054054054054054.0,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Aurora do Pará,98.0,4029439578964681.0,6.0204081632653064e+16,3.9795918367346936e+16,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Bujaru,125.0,4977699904428162.0,5.28e+16,4.72e+16,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Capitão Poço,276.0,4603068712474983.0,5.471014492753624e+16,4.4927536231884056e+16,3.623188405797101e+16,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,147.0,5.196733481811434e+16,6394557823129252.0,3.605442176870749e+16,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Dom Eliseu,237.0,3.802830461153365e+16,6413502109704642.0,3544303797468354.0,4.219409282700421e+16,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,144.0,5635566687539136.0,6319444444444444.0,3680555555555556.0,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,163.0,540486769679687.0,6380368098159509.0,3619631901840491.0,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Irituia,164.0,5015597284237567.0,5670731707317073.0,4.329268292682927e+16,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Mãe do Rio,224.0,6046210321744764.0,5848214285714286.0,4.1517857142857144e+16,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Nova Esperança do Piriá,76.0,3.5749564890164164e+16,6578947368421053.0,3421052631578947.0,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
Ourém,93.0,497991967871486.0,6.236559139784946e+16,3.7634408602150536e+16,0.0,10 Rio Capim,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri rio capim.xlsx,Rio Capim
