Par,23001070720,2051340906,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Rio Capim,858816498,32326689,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,826489809.0
Abel Figueiredo,122702,0,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,122702.0
Aurora do Pará,,,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,0.0
Bujaru,,,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,0.0
Capitão Poço,11521123,0,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,11521123.0
Concórdia do Pará,0,9681,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,-9681.0
Dom Eliseu,9421662,2690,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,9418972.0
Garrafão do Norte,,,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,0.0
Ipixuna do Pará,,,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,0.0
Irituia,,,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,0.0
Mãe do Rio,1673,0,10 Rio Capim,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri rio capim.xlsx",Rio Capim,20949729814,1673.0
