Par,118515,09770915074041261,17936126228747415,28677382609796226,24599417795215793,1656330422309412,870185208623381,25439817744589295,00008437750495717842,27655302109597697,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,8936.0,1.0743061772605194e+16,1.9650850492390332e+16,2.890555058191585e+16,2.4059982094897044e+16,1.6260071620411818e+16,7934198746642792.0,2.1150402864816476e+16,0.0,2.600178858003896e+16,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,94.0,425531914893617.0,2553191489361702.0,2127659574468085.0,2.6595744680851064e+16,1.3829787234042554e+16,851063829787234.0,0.0,0.0,4109806410663282.0,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Aurora do Pará,354.0,5649717514124294.0,2288135593220339.0,3389830508474576.0,1864406779661017.0,1.3559322033898304e+16,7627118644067797.0,2824858757062147.0,0.0,4.370708441264751e+16,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Bujaru,365.0,136986301369863.0,2.164383561643836e+16,2.712328767123288e+16,2.4383561643835616e+16,1.5068493150684932e+16,8493150684931507.0,1.9178082191780824e+16,0.0,4858235106721886.0,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Capitão Poço,809.0,9888751545117428.0,1.6069221260815824e+16,2.6699629171817056e+16,2719406674907293.0,1.9406674907292956e+16,8034610630407911.0,1.6069221260815822e+16,0.0,1.1390927284856572e+16,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,441.0,1.3605442176870748e+16,2.040816326530612e+16,2653061224489796.0,2.3582766439909296e+16,1.950113378684807e+16,6575963718820861.0,2.0408163265306124e+16,0.0,2280199384876445.0,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Dom Eliseu,621.0,8051529790660225.0,2045088566827697.0,3.1239935587761676e+16,2318840579710145.0,1.4975845410628018e+16,7.407407407407406e+16,1932367149758454.0,0.0,1.6543114790924554e+16,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,366.0,2459016393442623.0,2076502732240437.0,2.814207650273224e+16,2.4863387978142076e+16,1.4754098360655736e+16,7377049180327869.0,1639344262295082.0,0.0,4156230432060113.0,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,568.0,1.7605633802816902e+16,2341549295774648.0,3.0985915492957744e+16,2130281690140845.0,1.2323943661971832e+16,7746478873239436.0,2464788732394366.0,0.0,3.889515219842165e+16,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Irituia,349.0,1146131805157593.0,2.005730659025788e+16,3037249283667622.0,2.2349570200573064e+16,1.5759312320916904e+16,7736389684813753.0,2.578796561604585e+16,0.0,2743287051195792.0,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Mãe do Rio,491.0,4.073319755600814e+16,2.09775967413442e+16,2.7698574338085544e+16,2.3421588594704684e+16,1.5682281059063136e+16,9572301425661914.0,2240325865580448.0,0.0,5.034009933059815e+16,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Nova Esperança do Piriá,281.0,3558718861209964.0,2.1352313167259788e+16,298932384341637.0,2.4555160142348756e+16,1494661921708185.0,7473309608540925.0,1.4234875444839856e+16,0.0,5456512535867163.0,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
Ourém,256.0,78125.0,1875.0,27734375.0,2265625.0,1484375.0,10546875.0,46875.0,0.0,2.2382864792503344e+16,10 Rio Capim,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri rio capim.xlsx,Rio Capim
