Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,3069.0,131.0,403.0,62.0,800.0,284.0,129.0,1809.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,37.0,2.0,4.0,0.0,14.0,4.0,0.0,24.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Aurora do Pará,98.0,3.0,10.0,2.0,24.0,11.0,4.0,54.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Bujaru,125.0,6.0,17.0,2.0,21.0,12.0,4.0,62.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Capitão Poço,276.0,10.0,40.0,4.0,87.0,29.0,10.0,180.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,147.0,2.0,19.0,2.0,37.0,19.0,9.0,88.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Dom Eliseu,237.0,4.0,23.0,1.0,83.0,29.0,11.0,151.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,144.0,14.0,26.0,1.0,33.0,9.0,6.0,89.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,163.0,7.0,22.0,2.0,44.0,13.0,4.0,92.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
Irituia,164.0,7.0,29.0,6.0,50.0,12.0,2.0,106.0,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim
