EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
RI Baixo Amazonas,1937501540335932.0,1.973281025956501e+16,3475424411132668.0,2.613793024029384e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,4.196783281397688e+16,3.405436742682681e+16,1878317915899167.0,3584355128434877.0,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,1.4221001333855816e+16,3499696106278221.0,1.9015206082546404e+16,3.1766831520815564e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,3.789987725820264e+16,4464276895712118.0,1.7943745645410336e+16,3969210020067491.0,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,3.141156942555201e+16,2429207485680162.0,1.4335849580326276e+16,5182337350844155.0,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Faro,9324877194826694.0,3878457953125116.0,2.348073261387633e+16,6.331593223817186e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,2.1003432772445104e+16,3378227892608267.0,219281640647182.0,2.328612430906509e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,4.479168742332897e+16,6138747490373821.0,1723505900463146.0,3.183450608166576e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,384089854675648.0,4394579259058408.0,2.178503808245113e+16,354113973209785.0,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Óbidos,4588389711850251.0,1.14550208436475e+16,1.5921524854882448e+16,2.6739557182967544e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Oriximiná,1.4512899738296836e+16,4.416928590801415e+16,2.2201579633983204e+16,1.9116234719705812e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Prainha,5111815038467634.0,3.2240080344852816e+16,1.0951610611888216e+16,3470623096895016.0,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Santarém,8008272459712563.0,1.0212398030210798e+16,5760158501606711.0,2417774449400952.0,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Terra Santa,5036504969522023.0,5995092530693202.0,1.5020976485894416e+16,1.9991593237651536e+16,100.0,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Fonte: FAPESPA/IBGE,,,,,,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Elaboração: FAPESPA,,,,,,3 Baixo Amazonas,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
