EstadoMunicpios,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
RI Baixo Amazonas,429228.0,418179.0,1.0264216997984116e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Alenquer,39341.0,36541.0,1.0766262554390956e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Almeirim,18865.0,17577.0,1.0732775786539228e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Belterra,9673.0,9402.0,1028823654541587.0,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Curuá,7820.0,7134.0,1.0961592374544436e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Faro,4737.0,4430.0,1.0693002257336344e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Juruti,28036.0,26219.0,1.0693008886685228e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,13517.0,12301.0,1.098853751727502e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Monte Alegre,32520.0,31482.0,1032971221650467.0,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Óbidos,28593.0,26934.0,1.0615950100245044e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Oriximiná,37045.0,35844.0,1.0335063050998772e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Prainha,20209.0,18524.0,1.0909630749298206e+16,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
