EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,5873641911584.0,5671654857142.0,1941808253785.0,2901290031488.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
RI Baixo Amazonas,400271939134.0,390326943403.0,3.3358310224500004e+16,38832535121.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,2418698192.0,2398698192.0,22085545017.0,1145716628.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,26522388588.0,24645980213.0,22770809304.0,146615091.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,11441334521.0,11332306712.0,10452650846.0,434767684.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,7697397723.0,7614633188.0,7172849543.0,218754678.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,,,,,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,34313930659.0,33521706205.0,26559159524.0,6398543527.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,1183730844.0,11593522595.0,10777637508.0,409835875.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,29726931361.0,29726931361.0,24262158478.0,2714695804.0,3 Baixo Amazonas,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
