EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
RI Baixo Amazonas,1.3838461538461536e+16,164.0,1.7915384615384616e+16,2.8415384615384612e+16,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,141.0,17.0,197.0,297.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,13.0,152.0,142.0,235.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,121.0,156.0,176.0,259.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,133.0,194.0,155.0,28.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Faro,155.0,185.0,201.0,315.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,124.0,162.0,177.0,296.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,5.0,105.0,144.0,277.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,161.0,175.0,204.0,263.0,3 Baixo Amazonas,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
