Par,48,42,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,4746153846153846.0,4184615384615385.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,42.0,38.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,37.0,32.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,5.0,48.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,39.0,39.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Faro,54.0,4.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,5.0,45.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,51.0,44.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,48.0,4.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Óbidos,43.0,38.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Oriximiná,46.0,43.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Prainha,43.0,42.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Santarém,53.0,47.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Terra Santa,61.0,48.0,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Fonte: MEC - INEP,,,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
Elaboração: FAPESPA,,,3 Baixo Amazonas,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri baixo amazonas.xlsx,Baixo Amazonas
