EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
RI Baixo Amazonas,69783.0,72784.0,74548.0,78945.0,147701.0,127284.0,111129.0,75145.0,50407.0,27452.0,12229.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Alenquer,7082.0,7293.0,7430.0,7407.0,13138.0,11590.0,9093.0,5856.0,3883.0,2155.0,955.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Almeirim,3354.0,3469.0,3543.0,3585.0,6318.0,5333.0,4442.0,3014.0,1982.0,975.0,427.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Belterra,1529.0,1631.0,1645.0,1747.0,3161.0,2531.0,2534.0,1811.0,1333.0,785.0,368.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Curuá,1325.0,1343.0,1336.0,1482.0,2619.0,2253.0,1927.0,1205.0,849.0,426.0,189.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Faro,812.0,804.0,775.0,914.0,1678.0,1329.0,1136.0,782.0,519.0,283.0,135.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Juruti,5176.0,5309.0,5392.0,5629.0,9574.0,7981.0,6652.0,3976.0,2535.0,1419.0,612.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,2048.0,2074.0,2119.0,2247.0,4128.0,3801.0,3502.0,2688.0,1857.0,942.0,412.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Monte Alegre,4748.0,5139.0,5338.0,5599.0,10639.0,9356.0,8721.0,6384.0,4456.0,2507.0,1115.0,3 Baixo Amazonas,3,População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
