EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
RI Baixo Amazonas,18171394499.0,5.0,,7.138732490764848e+16,100.0,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,157858375.0,31.0,3.0,6201553274372292.0,8687191013803986.0,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,5938472.0,75.0,7.0,2.332961458419179e+16,3.2680331717671988e+16,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,352843834.0,105.0,11.0,1.38616645083593e+16,1.941754299701201e+16,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,192167955.0,127.0,12.0,7549424036321650.0,10575300371723.0,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,102051794.0,141.0,13.0,4009160978860110.0,5616068376349215.0,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,1184841849.0,38.0,5.0,4.654716513000511e+16,6520368313313563.0,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,457250562.0,93.0,10.0,1.796334036746337e+16,2.5163207040888532e+16,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,1227318864.0,37.0,4.0,4.821589807786937e+16,6754125909640789.0,3 Baixo Amazonas,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
