Par,col,1,3344,437,3782,1_2,19,6505,681,7206,3,480,7663,747,8893,21,718,2,261,1002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,-,-,382.0,50,432.0,-,-,1032.0,59,1091.0,-,27,1136.0,59,1222.0,2,74.0,-,12,88.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,-,-,4.0,3,7.0,-,-,82.0,4,86.0,-,3,87.0,4,94.0,-,5.0,-,1,6.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,-,-,49.0,-,49.0,-,-,49.0,-,49.0,-,-,66.0,-,66.0,-,3.0,-,-,3.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,-,-,3.0,1,4.0,-,-,9.0,1,10.0,-,-,40.0,1,41.0,-,2.0,-,-,2.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,-,-,5.0,-,5.0,-,-,35.0,-,35.0,-,-,37.0,-,37.0,-,2.0,-,-,2.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,-,-,14.0,-,14.0,-,-,17.0,-,17.0,-,2,17.0,-,19.0,-,2.0,-,-,2.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,-,-,56.0,2,58.0,-,-,88.0,2,90.0,-,2,87.0,1,90.0,-,5.0,-,1,6.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,-,-,,1,1.0,-,-,43.0,1,44.0,-,-,56.0,1,57.0,-,2.0,-,-,2.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,-,-,88.0,2,90.0,-,-,101.0,2,103.0,-,-,103.0,2,105.0,-,9.0,-,1,10.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Óbidos,-,-,14.0,1,15.0,-,-,71.0,1,72.0,-,-,87.0,-,87.0,1,3.0,-,-,4.0,3 Baixo Amazonas,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
