EstadoMunicpios,Ovos_de_codorna_Mil_dzias,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,511007.0
RI Baixo Amazonas,18,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,34017.0
Alenquer,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,8280.0
Almeirim,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,520.0
Belterra,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,969.0
Curuá,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,1500.0
Faro,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,430.0
Juruti,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,2100.0
Mojuí dos Campos,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,380.0
Monte Alegre,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,4035.0
Óbidos,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,3600.0
Oriximiná,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,3200.0
Prainha,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,1980.0
Santarém,18,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,5273.0
Terra Santa,-,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,1750.0
Fonte: IBGE/PPM,,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,Leite_Mil_litros,
