Par,col,191,101220,12640,114051,73,407,221043,28312,249835,2079,136328,1036295,130742,1305444,8585,312964,133,29064,350746,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,-,-,9810.0,1088,10898.0,-,-,26943.0,2407,29350.0,-,6132,126676.0,9230,142038.0,810,37736.0,-,1373,39919.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,-,-,163.0,35,198.0,-,-,2057.0,127,2184.0,-,999,9761.0,280,11040.0,-,2433.0,-,1,2434.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,-,-,1317.0,-,1317.0,-,-,1286.0,-,1286.0,-,-,6335.0,-,6335.0,-,1411.0,-,-,1411.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,-,-,159.0,11,170.0,-,-,633.0,22,655.0,-,-,3331.0,31,3362.0,-,906.0,-,-,906.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,-,-,212.0,-,212.0,-,-,585.0,-,585.0,-,-,2607.0,-,2607.0,-,812.0,-,-,812.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,-,-,323.0,-,323.0,-,-,445.0,-,445.0,-,295,1530.0,-,1825.0,-,472.0,-,-,472.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,-,-,575.0,33,608.0,-,-,2201.0,57,2258.0,-,606,10116.0,213,10935.0,-,3329.0,-,78,3407.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,-,-,,15,15.0,-,-,775.0,25,800.0,-,-,3526.0,17,3543.0,-,969.0,-,-,969.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,-,-,860.0,76,936.0,-,-,2074.0,110,2184.0,-,-,10827.0,208,11035.0,-,2684.0,-,50,2734.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Óbidos,-,-,477.0,47,524.0,-,-,1785.0,78,1863.0,-,-,9162.0,-,9162.0,353,2136.0,-,-,2489.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Oriximiná,-,-,851.0,41,892.0,-,-,2685.0,116,2801.0,-,-,11956.0,713,12669.0,-,3171.0,-,336,3507.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Prainha,-,-,526.0,-,526.0,-,-,1519.0,-,1519.0,-,-,7266.0,-,7266.0,-,1507.0,-,-,1507.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Santarém,-,-,4070.0,830,4900.0,-,-,10121.0,1872,11993.0,-,4232,47049.0,7768,59049.0,457,17024.0,-,908,18389.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Terra Santa,-,-,277.0,-,277.0,-,-,777.0,-,777.0,-,-,3210.0,-,3210.0,-,882.0,-,-,882.0,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Fonte: MEC - INEP,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,3 Baixo Amazonas,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
