Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,3992.0,159.0,566.0,122.0,1064.0,536.0,223.0,2670.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,295.0,13.0,35.0,21.0,69.0,32.0,26.0,196.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,146.0,6.0,23.0,4.0,31.0,19.0,4.0,87.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,107.0,5.0,16.0,5.0,28.0,15.0,2.0,71.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,65.0,3.0,18.0,2.0,11.0,5.0,1.0,40.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Faro,30.0,0.0,5.0,0.0,6.0,6.0,0.0,17.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,216.0,11.0,19.0,3.0,59.0,32.0,14.0,138.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,99.0,3.0,6.0,6.0,17.0,13.0,9.0,54.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,365.0,10.0,55.0,15.0,111.0,53.0,16.0,260.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Óbidos,270.0,10.0,28.0,3.0,81.0,30.0,10.0,162.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Oriximiná,320.0,15.0,41.0,10.0,73.0,24.0,11.0,174.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Prainha,140.0,5.0,31.0,3.0,42.0,12.0,6.0,99.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Santarém,1862.0,75.0,283.0,50.0,512.0,287.0,121.0,1328.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Terra Santa,77.0,3.0,6.0,0.0,24.0,8.0,3.0,44.0,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Fonte: DATASUS,,,,,,,,,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Elaboração: FAPESPA,,,,,,,,,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,3 Baixo Amazonas,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
