EstadoMunicpios,bitos_de_Jovens_por_Agresso_,Populao_Jovem_de_15_a_29_anos,Taxa_de_Homicdio_de_Jovens_100000_hab,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1026.0,2269457.0,4520905220940516.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
RI Baixo Amazonas,34.0,227454.0,1.4948077413455028e+16,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,1.0,20444.0,4891410682840931.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,2.0,9937.0,2012679883264567.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,1.0,4939.0,2024701356549909.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,0.0,4120.0,0.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,1.0,2620.0,3816793893129771.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,2.0,15227.0,1.3134563604124256e+16,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,0.0,6332.0,0.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,0.0,16475.0,0.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Óbidos,6.0,14514.0,4.13393964448119e+16,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Oriximiná,7.0,19827.0,3530539163766581.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Prainha,0.0,10976.0,0.0,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Santarém,14.0,96976.0,1.4436561623494472e+16,3 Baixo Amazonas,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
