EstadoMunicpios,PIB_R_1000,Populao,PIB_Per_capita,Razo_PIB_Per_capita_entre_Municpio_e_Par_R_100,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,8121025.0,3.1295764606916276e+16,1.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
RI Baixo Amazonas,18171394499.0,785819.0,2312414754415457.0,7388906401425387.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,157858375.0,69377.0,227537.0,7270536536107349.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,5938472.0,34280.0,1732343.0,5535391199923446.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,352843834.0,18099.0,1949521.0,6229344527882733.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,192167955.0,14117.0,1361252.0,434963649905255.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,102051794.0,8728.0,1169246.0,3.736115780157676e+16,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,1184841849.0,50881.0,2328653.0,744079280135362.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,457250562.0,23501.0,1945664.0,621702017649383.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,1227318864.0,60012.0,2045122.0,6534820368466199.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Óbidos,921982054.0,52229.0,1765268.0,5640597129267393.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Oriximiná,1739412002.0,68294.0,2546947.0,8138312107054678.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Prainha,548886134.0,35577.0,1542812.0,4.929778899407503e+16,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Santarém,8681869363.0,331942.0,2615478.0,8357290620156271.0,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Terra Santa,590339138.0,18782.0,3143111.0,1.0043247191683508e+16,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Fonte: FAPESPA/IBGE,,,,,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Elaboração: FAPESPA,,,,,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
"NOTA:  Para o cálculo do PIB per capita de 2023, por Unidade da Federação e por Município, foi utilizada a população da publicação ‘Relação da população residente dos Municípios enviada para o TCU em 2023’",,,,,3 Baixo Amazonas,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
