EstadoMunicpios,Leite_Mil_litros,Ovos_de_galinha_Mil_dzias,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,511007.0,39437.0,29,745689.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
RI Baixo Amazonas,34017.0,5283.0,18,11954.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,8280.0,111.0,-,4950.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,520.0,4.0,-,168.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,969.0,53.0,-,600.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,1500.0,20.0,-,640.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Faro,430.0,4.0,-,,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,2100.0,69.0,-,230.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,380.0,75.0,-,550.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,4035.0,126.0,-,990.0,3 Baixo Amazonas,46,Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
