Par,913,97,978,981,97_2,67,09,0,15,11,2,21,22,04,19,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,94.6,9793076923076924.0,-,93.36,9780769230769228.0,2.8,7230769230769231.0,-,2.2800000000000002,7615384615384614.0,2.6,1.3461538461538464e+16,-,4.36,1.4307692307692306e+16,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,-,993.0,-,100,993.0,-,7.0,-,0,7.0,-,0.0,-,0,0.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,-,992.0,-,-,992.0,-,2.0,-,-,2.0,-,6.0,-,-,6.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,-,958.0,-,-,958.0,-,5.0,-,-,5.0,-,37.0,-,-,37.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,-,97.0,-,-,97.0,-,11.0,-,-,11.0,-,19.0,-,-,19.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,-,974.0,-,-,974.0,-,17.0,-,-,17.0,-,9.0,-,-,9.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,-,986.0,-,96.1,986.0,-,6.0,-,2.6,6.0,-,8.0,-,1.3,8.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,-,969.0,-,-,969.0,-,7.0,-,-,7.0,-,24.0,-,-,24.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,-,994.0,-,92,993.0,-,2.0,-,0,1.0,-,4.0,-,8,6.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Óbidos,97.9,993.0,-,-,991.0,0.3,7.0,-,-,6.0,1.8,0.0,-,-,3.0,3 Baixo Amazonas,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
