Par,973,986,914,991,929,26,08,7,07,58,01,06,16,02,13,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,-,98.42500000000001,9234615384615384.0,99.25,9250769230769232.0,-,1.35,6707692307692307.0,0.75,6561538461538462.0,-,0.225,9461538461538464.0,0,9307692307692308.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Alenquer,-,99.2,902.0,99.5,912.0,-,0.3,9.0,0.5,8.0,-,0.5,8.0,0,8.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Almeirim,-,-,821.0,-,821.0,-,-,15.0,-,15.0,-,-,29.0,-,29.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Belterra,-,-,928.0,100,929.0,-,-,72.0,0,71.0,-,-,0.0,0,0.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Curuá,-,-,921.0,-,921.0,-,-,57.0,-,57.0,-,-,22.0,-,22.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Faro,-,95.6,100.0,-,993.0,-,4.4,0.0,-,7.0,-,0,0.0,-,0.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Juruti,-,99.4,946.0,99,95.0,-,0.2,49.0,1,46.0,-,0.4,5.0,0,4.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,-,-,954.0,-,954.0,-,-,44.0,-,44.0,-,-,2.0,-,2.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,-,-,905.0,99.5,906.0,-,-,78.0,0.5,77.0,-,-,17.0,0,17.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
Óbidos,-,-,87.0,-,87.0,-,-,117.0,-,117.0,-,-,13.0,-,13.0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas
