EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
RI Xingu,35371.0,37040.0,36958.0,38092.0,73683.0,66943.0,57845.0,38318.0,23795.0,11455.0,4569.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Altamira,10805.0,11575.0,11506.0,11537.0,24142.0,22907.0,19807.0,13051.0,7986.0,3851.0,1582.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Anapu,3446.0,3402.0,3369.0,3484.0,6312.0,5469.0,4496.0,2828.0,1755.0,805.0,272.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Brasil Novo,2009.0,2130.0,2236.0,2345.0,4564.0,4287.0,3864.0,2696.0,1804.0,838.0,357.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Medicilândia,2282.0,2400.0,2434.0,2549.0,4711.0,4313.0,4029.0,2812.0,1864.0,936.0,347.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Pacajá,3757.0,3974.0,3905.0,4001.0,7398.0,6768.0,5924.0,3880.0,2421.0,1212.0,501.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Placas,1415.0,1535.0,1522.0,1644.0,3105.0,2822.0,2494.0,1864.0,1284.0,603.0,222.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Porto de Moz,4310.0,4361.0,4145.0,4479.0,8638.0,7011.0,5379.0,3066.0,1576.0,760.0,396.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Senador José Porfírio,2364.0,2335.0,2349.0,2406.0,4159.0,3745.0,3441.0,2237.0,1309.0,512.0,132.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Uruará,3686.0,3906.0,3886.0,4083.0,7886.0,7137.0,6227.0,4345.0,2822.0,1416.0,568.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Vitória do Xingu,1297.0,1422.0,1606.0,1564.0,2768.0,2484.0,2184.0,1539.0,974.0,522.0,192.0,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,,,,,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
Elaboração: FAPESPA,,,,,,,,,,,,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu
