EstadoMunicpio,Bovino,Bubalino,Equino,Suno__total,Suno__matrizes_de_sunos,Caprino,Ovino,Galinceos__Total,Galinceos__galinhas,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,25557665.0,775075.0,499639.0,587143.0,93157.0,61762.0,284632.0,26827658.0,2955828.0,1980,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
RI Xingu,3887179.0,53404.0,78832.0,62083.0,7724.0,7644.0,40429.0,541354.0,114676.0,350,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Altamira,1093383.0,449.0,12300.0,14980.0,1290.0,908.0,10199.0,114470.0,33768.0,350,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Anapu,375444.0,424.0,10740.0,7660.0,945.0,601.0,4490.0,49050.0,7230.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Brasil Novo,305348.0,54.0,8114.0,8250.0,640.0,353.0,3198.0,60940.0,8170.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Medicilândia,220069.0,,4235.0,1610.0,245.0,154.0,1470.0,41840.0,10340.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Pacajá,851950.0,408.0,16200.0,10280.0,1230.0,2543.0,7652.0,48430.0,9390.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Placas,243393.0,375.0,4669.0,3930.0,1160.0,706.0,2836.0,49655.0,7448.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Porto de Moz,75816.0,49782.0,2214.0,2140.0,149.0,147.0,1270.0,13349.0,3220.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Senador José Porfírio,167629.0,1266.0,4712.0,2553.0,235.0,378.0,1465.0,22730.0,2895.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Uruará,361883.0,282.0,10800.0,7200.0,1280.0,1623.0,5370.0,109750.0,25970.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Vitória do Xingu,192264.0,364.0,4848.0,3480.0,550.0,231.0,2479.0,31140.0,6245.0,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Fonte: IBGE/PPM,,,,,,,,,,,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Elaboração: FAPESPA,,,,,,,,,,,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,,,,,,,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu
