EstadoMunicpios,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
RI Xingu,219772.0,204297.0,1.0757475635961372e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Altamira,69628.0,69121.0,1.0073349633251834e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Anapu,18619.0,17019.0,1.0940125741817968e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Brasil Novo,13925.0,13205.0,1.0545248012116622e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Medicilândia,15186.0,13491.0,1.1256393150989548e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Pacajá,23076.0,20665.0,1.1166706992499396e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Placas,9852.0,8658.0,1137907137907138.0,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Porto de Moz,23168.0,20953.0,1.1057127857586026e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Senador José Porfírio,13599.0,11390.0,1.1939420544337138e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Uruará,24206.0,21756.0,1.1126126126126124e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Vitória do Xingu,8513.0,8039.0,1.0589625575320314e+16,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
Elaboração: FAPESPA,,,,13 Xingu,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_xingu.xlsx,Xingu
