EstadoMunicpios,_Participao_PIB_Estadual,_Participao_VA_Agropecuria_Estadual,_Participao_VA_Industrial_Estadual,_Participao_VA_Servios_Estadual_Exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica_Estadual,_Participao_VA_Total_Estadual,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,100.0,100.0,100.0,100.0,100.0,100.0,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
RI Xingu,4546898468814923.0,1.0609254404327526e+16,4026736234953105.0,3.5771571641722656e+16,4919805245406757.0,4719424719103338.0,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Altamira,1.1862751768532818e+16,1.7687411797676416e+16,3981992334512775.0,206589018234432.0,1.4324207826735588e+16,1157755721100473.0,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Anapu,2.235205430377226e+16,9676436436898136.0,2041674419792460.0,2.166182249775832e+16,3692912253013707.0,2.269166441129917e+16,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Brasil Novo,1.443773724909907e+16,6662047007816394.0,1.47898215993566e+16,1.39067294705433e+16,2.065051045566785e+16,1.459505518758683e+16,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Medicilândia,3893594276648.0,2579416656364357.0,3.64381271017809e+16,2550652549936566.0,3626409346863644.0,4067147964056476.0,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Pacajá,3.297905535701358e+16,1700752513201045.0,2527470768196360.0,2.311639544442841e+16,5840161437086948.0,34281518218907.0,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Placas,1.228494728712647e+16,4.594183218358872e+16,8833038003596100.0,7857936282092840.0,3.439496818181006e+16,1.286992266718068e+16,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Porto de Moz,1.537114745236846e+16,4319337413947665.0,9679581667914800.0,947315221484443.0,5362126819617051.0,1624855036034506.0,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Senador José Porfírio,9357816608282720.0,4.328712432992003e+16,872760339594790.0,7037952842090310.0,1.925822686731576e+16,9870145339383390.0,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Uruará,2.944044991440268e+16,1.1581039871924836e+16,3161472578837400.0,2954690333087378.0,5396709969625366.0,3.008425727644558e+16,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Vitória do Xingu,1.6090317825761882e+16,4441684168006926.0,3472762652064968.0,1.301928060079752e+16,3.52515425064591e+16,1.7485430669857404e+16,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Fonte: FAPESPA/IBGE,,,,,,,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
Elaboração: FAPESPA,,,,,,,13 Xingu,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri xingu.xlsx,Xingu
