EstadoMunicpios,PIB_R_1000,Populao,PIB_Per_capita,Razo_PIB_Per_capita_entre_Municpio_e_Par_R_100,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,8121025.0,3.1295764606916276e+16,1.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
RI Xingu,1376082464.0,392044.0,3510020467090429.0,1.1215640554488082e+16,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
Altamira,3887893813.0,126279.0,3078813.0,9837794470500304.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
Anapu,715999089.0,31850.0,2248035.0,7183192448677834.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
Brasil Novo,51748203.0,24718.0,2093543.0,6689540985163638.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
Medicilândia,1140468562.0,27094.0,4209303.0,1345007240714533.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
Pacajá,1114327561.0,41097.0,2711457.0,8663974291910337.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
Placas,491401617.0,18668.0,2632321.0,8411109404300238.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
Porto de Moz,507177479.0,40597.0,1249298.0,3991907581398119.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
Senador José Porfírio,341243519.0,22576.0,1511532.0,4829829272380058.0,13 Xingu,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri xingu.xlsx",Xingu
