Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,1966.0,76.0,230.0,31.0,467.0,194.0,92.0,1090.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Altamira,755.0,26.0,94.0,18.0,188.0,94.0,37.0,457.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Anapu,156.0,8.0,10.0,0.0,32.0,12.0,7.0,69.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Brasil Novo,125.0,4.0,25.0,1.0,29.0,15.0,4.0,78.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Medicilândia,146.0,3.0,11.0,2.0,30.0,14.0,3.0,63.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Pacajá,196.0,7.0,20.0,5.0,37.0,13.0,10.0,92.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Placas,99.0,6.0,8.0,0.0,29.0,6.0,7.0,56.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Porto de Moz,126.0,3.0,14.0,1.0,36.0,13.0,5.0,72.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Senador José Porfírio,69.0,1.0,8.0,1.0,18.0,3.0,3.0,34.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Uruará,199.0,10.0,23.0,2.0,47.0,19.0,11.0,112.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Vitória do Xingu,95.0,8.0,17.0,1.0,21.0,5.0,5.0,57.0,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Fonte: DATASUS,,,,,,,,,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
Elaboração: FAPESPA,,,,,,,,,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,,,13 Xingu,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri xingu.xlsx,Xingu
