Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pacajá,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,5.0
Placas,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,0.0
Porto de Moz,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,0.0
Senador José Porfírio,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,0.0
Uruará,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,3.0
Vitória do Xingu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,0.0
Fonte: DATASUS,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,
Elaboração: FAPESPA,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,
*Nota: Dados referentes a Outubro/2025.,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,3762,
RI Xingu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,640.0
Altamira,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,250.0
Anapu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,41.0
Brasil Novo,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,33.0
Medicilândia,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,52.0
Pacajá,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,37.0
Placas,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,29.0
Porto de Moz,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,56.0
Senador José Porfírio,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,19.0
Uruará,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,81.0
Vitória do Xingu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,42.0
Fonte: DATASUS,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,
Elaboração: FAPESPA,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,
*Nota: Dados referentes a Outubro/2025.,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,15331,
RI Xingu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,68.0
Altamira,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,49.0
Anapu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,1.0
Brasil Novo,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,8.0
Medicilândia,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,2.0
Pacajá,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,1.0
Placas,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,2.0
Porto de Moz,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,1.0
Senador José Porfírio,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,1.0
Uruará,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,1.0
Vitória do Xingu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,2.0
Fonte: DATASUS,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,
Elaboração: FAPESPA,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,
*Nota: Dados referentes a Outubro/2025.,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,2384,
