EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1980,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,25557665.0
RI Xingu,350,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,3887179.0
Altamira,350,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,1093383.0
Anapu,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,375444.0
Brasil Novo,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,305348.0
Medicilândia,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,220069.0
Pacajá,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,851950.0
Placas,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,243393.0
Porto de Moz,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,75816.0
Senador José Porfírio,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,167629.0
Uruará,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,361883.0
Vitória do Xingu,-,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,192264.0
Fonte: IBGE/PPM,,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,
Elaboração: FAPESPA,,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,13 Xingu,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri xingu.xlsx,Xingu,Bovino,
