EstadoMunicpios,Ovos_de_codorna_Mil_dzias,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,511007.0
RI Xingu,7,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,65277.0
Altamira,7,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,14562.0
Anapu,-,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,7101.0
Brasil Novo,-,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,7083.0
Medicilândia,-,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,3641.0
Pacajá,-,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,13632.0
Placas,-,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,6425.0
Porto de Moz,-,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,1389.0
Senador José Porfírio,-,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,2259.0
Uruará,-,13 Xingu,46,Producao de Origem Animal por Tipo - 2024 ri xingu,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri xingu.xlsx,Xingu,Leite_Mil_litros,7736.0
