Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,35353.0,392,1661.0,619,1501.0,9347.0,9155.0,10860.0,1818.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Altamira,17251.0,310,662.0,405,788.0,5808.0,6927.0,1621.0,730.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Anapu,3385.0,24,23.0,20,276.0,686.0,236.0,2009.0,111.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Brasil Novo,1215.0,18,169.0,1,29.0,317.0,176.0,457.0,48.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Medicilândia,2277.0,12,97.0,-,25.0,402.0,180.0,1498.0,63.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Pacajá,2741.0,6,51.0,1,68.0,670.0,332.0,1295.0,318.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Placas,833.0,-,38.0,-,,173.0,72.0,519.0,31.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Porto de Moz,1961.0,-,9.0,-,45.0,116.0,328.0,1443.0,20.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Senador José Porfírio,781.0,22,13.0,1,1.0,70.0,183.0,451.0,40.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
Uruará,3003.0,-,212.0,4,41.0,973.0,612.0,897.0,264.0,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu
