Par,col,191,101220,12640,114051,73,407,221043,28312,249835,2079,136328,1036295,130742,1305444,8585,312964,133,29064,350746,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,-,-,5456.0,245,5701.0,-,-,13766.0,665,14431.0,-,-,74978.0,2869,77847.0,249,14104.0,-,787,15140.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Altamira,-,-,2186.0,173,2359.0,-,-,3475.0,486,3961.0,-,-,18569.0,2191,20760.0,249,4473.0,-,443,5165.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Anapu,-,-,21.0,43,64.0,-,-,1237.0,16,1253.0,-,-,6179.0,75,6254.0,-,1058.0,-,97,1155.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Brasil Novo,-,-,518.0,-,518.0,-,-,1102.0,18,1120.0,-,-,2936.0,65,3001.0,-,774.0,-,-,774.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Medicilândia,-,-,215.0,-,215.0,-,-,877.0,-,877.0,-,-,4439.0,-,4439.0,-,1035.0,-,-,1035.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Pacajá,-,-,981.0,-,981.0,-,-,1538.0,-,1538.0,-,-,7802.0,47,7849.0,-,1200.0,-,76,1276.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Placas,-,-,349.0,-,349.0,-,-,1122.0,-,1122.0,-,-,4980.0,-,4980.0,-,779.0,-,11,790.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Porto de Moz,-,-,480.0,-,480.0,-,-,1476.0,-,1476.0,-,-,12150.0,-,12150.0,-,1848.0,-,-,1848.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Senador José Porfírio,-,-,167.0,-,167.0,-,-,800.0,-,800.0,-,-,4675.0,-,4675.0,-,687.0,-,13,700.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Uruará,-,-,249.0,29,278.0,-,-,1537.0,145,1682.0,-,-,9971.0,491,10462.0,-,1453.0,-,147,1600.0,13 Xingu,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
