EstadoRIs,Taxa_de_Mortalidade_Infantil,Taxa_de_Mortalidade_em_Menores_que_05_Anos,Taxa_de_Mortalidade_Materna,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1524701514576214.0,1.8503986837109224e+16,7593975446146058.0,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Araguaia,1.5327317003294656e+16,186219739292365.0,1.1459676264145538e+16,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Baixo Amazonas,1.6682519938538086e+16,2.0414136240579492e+16,1.2438721006804712e+16,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Carajás,1.5477629987908102e+16,1.9347037484885124e+16,8867392180572351.0,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Guajará,1578829333931375.0,1.7761830006727966e+16,5382372729311504.0,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Guamá,1.4421385860007036e+16,1.7352561847813344e+16,703482237073514.0,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Lago de Tucuruí,1.3366750208855472e+16,1.6499582289055972e+16,1.0442773600668338e+16,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Marajó,1562774363476734.0,2.107111501316945e+16,5267778753292362.0,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Rio Caeté,1.5330188679245284e+16,1.7099056603773584e+16,7370283018867926.0,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
Rio Capim,1.3316920322291852e+16,1.6226499552372428e+16,6714413607878245.0,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS
