EstadoRIs,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Carajás,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,70709.0
Guajará,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,126315.0
Guamá,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,50454.0
Lago de Tucuruí,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,27394.0
Marajó,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,62895.0
Rio Caeté,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,39859.0
Rio Capim,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,52352.0
Tapajós,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,24776.0
Tocantins,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,70926.0
Xingu,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,5_a_9_anos,37040.0
