Par,820361,301905,518456,11208843632599998,5406014641200002,5802828991400001,14650321514480005,7064060326700001,7586261187780002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,47753.0,10092.0,37661.0,6.100060185e+16,1634417568.0,4465642617.0,79309163727.0,21060433354.0,58248730373.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Baixo Amazonas,89864.0,24187.0,65677.0,11580526034.0,4201002778.0,7379523256.0,150258513326.0,53708547883.0,96549965443.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Carajás,62640.0,19753.0,42887.0,850093667.0,364338796.0,485754871.0,1.0973266857100004e+16,4.6486515184e+16,6324615338699999.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Guajará,206272.0,166206.0,40066.0,3589919721100001.0,31601112737.0,4.298084474e+16,470884251201.0,417000962541.0,5388328866.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Guamá,75331.0,22492.0,52839.0,9305741487.0,3383268399999999.0,5922473087.0,122060051146.0,4.383071755900002e+16,7822933358699999.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Lago de Tucuruí,41988.0,7650.0,34338.0,5067480028.0,1309672757.0,3757807271.0,66566631912.0,1.7077579635000002e+16,49489052277.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Marajó,33681.0,3316.0,30365.0,3755200577.0,467055713.0,3288144864.0,4990328833899999.0,6206936982000001.0,4369635135700001.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Rio Caeté,63451.0,11140.0,52311.0,7448243863999999.0,1733160841.0,5715083022999999.0,9795185777800000.0,2.26191289e+16,7533272887800002.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Rio Capim,60939.0,11500.0,49439.0,7181252455.0,1655617055.0,55256354.0,94039411604.0,21581266669.0,7245814493499999.0,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
Tapajós,22721.0,4970.0,17751.0,2906732846.0,841931096.0,206480175.0,3.7838400148e+16,1.0644056679e+16,2.7194343468999996e+16,1 Pará,29,Benefícios Emitidos pela Previdência Social - 2024 para,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 para.xlsx,RIS
