EstadoMunicpio,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1980,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,25557665.0
RI Carajás,0,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,3939656.0
Bom Jesus do Tocantins,-,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,246450.0
Brejo Grande do Araguaia,-,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,135351.0
Canaã dos Carajás,-,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,229226.0
Curionópolis,-,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,274998.0
Eldorado do Carajás,-,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,426154.0
Marabá,-,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,1295819.0
Palestina do Pará,-,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,108372.0
Parauapebas,-,4 Carajás,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri carajas.xlsx,Carajás,Bovino,128859.0
