Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,3668.0,161.0,425.0,92.0,796.0,352.0,208.0,2034.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,102.0,2.0,18.0,2.0,24.0,10.0,5.0,61.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,28.0,1.0,1.0,1.0,10.0,0.0,3.0,16.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Canaã dos Carajás,326.0,12.0,39.0,9.0,71.0,25.0,19.0,175.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Curionópolis,136.0,6.0,13.0,1.0,40.0,18.0,5.0,83.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Eldorado do Carajás,171.0,9.0,20.0,1.0,33.0,16.0,10.0,89.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Marabá,1436.0,50.0,156.0,35.0,280.0,131.0,86.0,738.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Palestina do Pará,41.0,0.0,6.0,0.0,12.0,4.0,1.0,23.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Parauapebas,1039.0,63.0,126.0,38.0,216.0,107.0,56.0,606.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
Piçarra,46.0,0.0,9.0,0.0,17.0,5.0,2.0,33.0,4 Carajás,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri carajas.xlsx,Carajás
