EstadoMunicpios,VA_Agropecuria,VA_Indstria,VA_Servios_exclusive_Administrao_Pblica,VA_Administrao_Pblica,VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,24296590644.0,1.1132113318200006e+16,6474338067100003.0,3973614317000002.0,2.400972476610001e+16,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
RI Carajás,1918340251.0,81470942343.0,1.297887231e+16,4446911232999999.0,1.00815066136e+16,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,90328335.0,7004282.0,48029953.0,86731814.0,232094384.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,44232216.0,3056685.0,2206859.0,40018255.0,109375745.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Canaã dos Carajás,111000806.0,30877676867.0,306619264.0,407859437.0,34462729751.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Curionópolis,108749678.0,306177647.0,337556519.0,109867063.0,361794973.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Eldorado do Carajás,156254465.0,48329575.0,139636446.0,162776245.0,50699673.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Marabá,608868832.0,6619707641.0,3400317894.0,141054963.0,12039443997.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Palestina do Pará,40875031.0,2327355.0,14834561.0,37193938.0,95230884.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Parauapebas,238182766.0,40659414066.0,5655262876.0,1797123505.0,48349983212.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Piçarra,166604938.0,12298697.0,33511705.0,68162276.0,280577616.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
São Domingos do Araguaia,107269484.0,13805586.0,9090691.0,124248283.0,336230264.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
São Geraldo do Araguaia,175716081.0,155043016.0,146042902.0,130009986.0,606811986.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
São João do Araguaia,70257619.0,10502103.0,24511314.0,72370801.0,177641837.0,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Fonte: FAPESPA/IBGE,,,,,,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
Elaboração: FAPESPA,,,,,,4 Carajás,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri carajas.xlsx,Carajás
