EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
RI Carajás,843833.0,4472916.0,1886538893196295.0,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
Bom Jesus do Tocantins,19129.0,2816604.0,6791512047842011.0,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
Brejo Grande do Araguaia,6966.0,1288473.0,5406399668444741.0,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
Canaã dos Carajás,89524.0,3146749.0,2.8449679335720772e+16,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
Curionópolis,20975.0,2369096.0,885358803526746.0,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
Eldorado do Carajás,29287.0,2956691.0,990532997868225.0,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
Marabá,290975.0,15127872.0,1.9234364225186464e+16,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
Palestina do Pará,7063.0,984362.0,717520586938545.0,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
Parauapebas,305771.0,6885865.0,4440560481508133.0,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás
