Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,3668.0,4411241208785922.0,6368593238822247.0,3.620501635768812e+16,1.09051254089422e+16,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,102.0,5380314379153919.0,7058823529411765.0,2.9411764705882356e+16,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,28.0,4008589835361489.0,6428571428571429.0,3.5714285714285716e+16,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Canaã dos Carajás,326.0,3.763173994851608e+16,6.196319018404908e+16,3773006134969325.0,3067484662576687.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Curionópolis,136.0,6519967400162999.0,7132352941176471.0,2.8676470588235292e+16,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Eldorado do Carajás,171.0,5.8113848768054376e+16,6549707602339181.0,3391812865497076.0,5847953216374269.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Marabá,1436.0,4977245392755266.0,6.211699164345404e+16,3788300835654596.0,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Palestina do Pará,41.0,5786057013830087.0,6341463414634146.0,3658536585365854.0,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Parauapebas,1039.0,3476613998808783.0,6.390760346487006e+16,3.5899903753609244e+16,192492781520693.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Piçarra,46.0,3.4480173900007496e+16,6521739130434783.0,3478260869565217.0,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
São Domingos do Araguaia,144.0,6654958868656992.0,625.0,375.0,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
São Geraldo do Araguaia,138.0,5524861878453039.0,673913043478261.0,3.2608695652173916e+16,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
São João do Araguaia,61.0,4281903692264495.0,6557377049180327.0,3442622950819672.0,0.0,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Fonte: DATASUS,,,,,,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
Elaboração: FAPESPA,,,,,,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,4 Carajás,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri carajas.xlsx,Carajás
