EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
RI Carajás,68545.0,70709.0,69330.0,73963.0,150195.0,146938.0,122484.0,71098.0,42807.0,19948.0,7816.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
Bom Jesus do Tocantins,1280.0,1381.0,1338.0,1396.0,3151.0,3359.0,2984.0,1836.0,1560.0,594.0,250.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
Brejo Grande do Araguaia,494.0,547.0,594.0,641.0,1030.0,946.0,1004.0,726.0,530.0,318.0,136.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
Canaã dos Carajás,8755.0,8049.0,7317.0,7499.0,16834.0,17837.0,12786.0,5942.0,2842.0,1220.0,443.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
Curionópolis,1721.0,1813.0,1837.0,1888.0,3466.0,3223.0,2665.0,1784.0,1486.0,784.0,308.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
Eldorado do Carajás,2287.0,2512.0,2623.0,2785.0,4685.0,4185.0,3881.0,2869.0,2020.0,1047.0,393.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
Marabá,21574.0,23340.0,23674.0,25820.0,52096.0,48172.0,41703.0,26565.0,16966.0,7933.0,3132.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
Palestina do Pará,504.0,564.0,589.0,627.0,1070.0,1002.0,970.0,753.0,512.0,329.0,143.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
Parauapebas,26262.0,26318.0,25064.0,26784.0,56161.0,57517.0,46223.0,23080.0,11765.0,4845.0,1752.0,4 Carajás,3,População_por_Faixa_Etária_-_2025_ri_carajás,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_carajás.xlsx,Carajás
