EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Fonte: FAPESPA/IBGE,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,
Elaboração: FAPESPA,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,PIB_R_1000,
Pará,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,
RI Carajás,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,8.0
Bom Jesus do Tocantins,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,109.0
Brejo Grande do Araguaia,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,134.0
Canaã dos Carajás,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,3.0
Curionópolis,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,60.0
Eldorado do Carajás,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,61.0
Marabá,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,5.0
Palestina do Pará,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,137.0
Parauapebas,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,2.0
Piçarra,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,102.0
São Domingos do Araguaia,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,86.0
São Geraldo do Araguaia,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,47.0
São João do Araguaia,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,122.0
Fonte: FAPESPA/IBGE,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,
Elaboração: FAPESPA,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Estadual,
Pará,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Regional,
RI Carajás,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás,Ranking_Regional,
