EstadoMunicpios,bitos_por_Agresses_,Populao_Total,Taxa_de_Homicdio_100_Mil_habitantes,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2211.0,8664306.0,2.5518489305433116e+16,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
RI Carajás,241.0,831512.0,2.898334600101983e+16,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Bom Jesus do Tocantins,6.0,18958.0,3.1648908112670116e+16,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Brejo Grande do Araguaia,0.0,6985.0,0.0,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Canaã dos Carajás,18.0,86629.0,2077826132126655.0,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Curionópolis,6.0,20859.0,2.8764562059542644e+16,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Eldorado do Carajás,11.0,29425.0,3738317757009346.0,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Marabá,106.0,288513.0,3674011223064472.0,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Palestina do Pará,2.0,7086.0,2822466836014677.0,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Parauapebas,69.0,298854.0,2308819691220462.0,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
Piçarra,1.0,13341.0,7495689978262499.0,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
São Domingos do Araguaia,10.0,21638.0,4621499214345133.0,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás
