EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
RI Carajás,399153.0,97832.0,10764.0,2457.0,38773.0,6869.0,1444.0,1429.0,160965.0,62100.0,3584.0,5684.0,3386.0,603.0,3089.0,174.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Bom Jesus do Tocantins,3827.0,697.0,95.0,9.0,458.0,30.0,3.0,12.0,1939.0,491.0,11.0,56.0,8.0,3.0,15.0,0.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Brejo Grande do Araguaia,1861.0,264.0,33.0,5.0,162.0,9.0,0.0,6.0,1037.0,303.0,13.0,13.0,7.0,1.0,7.0,1.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Canaã dos Carajás,38561.0,9114.0,1000.0,168.0,4123.0,671.0,183.0,137.0,15068.0,6461.0,425.0,594.0,187.0,37.0,360.0,33.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Curionópolis,8528.0,1451.0,339.0,64.0,748.0,75.0,19.0,115.0,3984.0,1362.0,31.0,148.0,126.0,16.0,43.0,7.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Eldorado do Carajás,12993.0,2108.0,558.0,145.0,1509.0,153.0,8.0,70.0,6127.0,1695.0,71.0,194.0,223.0,19.0,95.0,18.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Marabá,158936.0,40859.0,4287.0,1175.0,15233.0,3039.0,485.0,364.0,64991.0,22114.0,873.0,2272.0,1669.0,305.0,1217.0,53.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Palestina do Pará,1115.0,169.0,26.0,4.0,95.0,6.0,0.0,6.0,646.0,144.0,6.0,8.0,3.0,0.0,2.0,0.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Parauapebas,148113.0,39876.0,3910.0,833.0,14352.0,2667.0,707.0,649.0,52631.0,25749.0,2064.0,2061.0,1078.0,199.0,1282.0,55.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
Piçarra,2101.0,186.0,56.0,7.0,200.0,18.0,0.0,2.0,1371.0,221.0,8.0,17.0,6.0,0.0,9.0,0.0,4 Carajás,51,Total da Frota de Veículos por Tipo - 2024 ri carajás,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri carajás.xlsx,Carajás
