EstadoMunicpio,Desflorestamento_Acumulado_km,Incremento_do_Desflorestamento_km,Focos_de_Calor,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2914860687628959.0,2.260838831105545e+16,56070.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
RI Carajás,2831929389043142.0,3394891635464632.0,1369.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Bom Jesus do Tocantins,1816218969988651.0,300917717042974.0,95.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Brejo Grande do Araguaia,1.0768400189424738e+16,569669618615885.0,13.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Canaã dos Carajás,1753941517869462.0,62884217064621.0,78.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Curionópolis,2075616257366648.0,501210898957086.0,90.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Eldorado do Carajás,2772050793962433.0,101006018874799.0,67.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Marabá,896552494704101.0,214191649859941.0,399.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Palestina do Pará,8206054073065243.0,181872049910403.0,4.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Parauapebas,1.3502165106802622e+16,291935693949848.0,468.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
Piçarra,2.9136688536678856e+16,717676295308691.0,45.0,4 Carajás,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024  ri carajas.xlsx",Carajás
