Par,1445663,154931,99624,261547,868244,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,201798.0,37789.0,32221.0,33788.0,93244.0,4756.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,1410.0,97.0,21.0,163.0,731.0,398.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,768.0,1.0,5.0,54.0,456.0,252.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Canaã dos Carajás,34945.0,7669.0,10837.0,2846.0,13232.0,361.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Curionópolis,4342.0,1328.0,42.0,266.0,2111.0,595.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Eldorado do Carajás,2669.0,208.0,11.0,615.0,1675.0,160.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Marabá,67888.0,11779.0,6284.0,15556.0,33106.0,1163.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Palestina do Pará,722.0,41.0,,54.0,499.0,128.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Parauapebas,80334.0,15091.0,14945.0,13191.0,36867.0,240.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Piçarra,1238.0,72.0,11.0,130.0,431.0,594.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
São Domingos do Araguaia,2930.0,190.0,16.0,327.0,2215.0,182.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
São Geraldo do Araguaia,3544.0,1191.0,48.0,486.0,1302.0,517.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
São João do Araguaia,1008.0,122.0,1.0,100.0,619.0,166.0,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Fonte: MTE-RAIS,,,,,,,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
Elaboração: FAPESPA,,,,,,,4 Carajás,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri carajas.xlsx,Carajás
