Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,201798.0,18656,18292.0,841,32221.0,33788.0,57783.0,35461.0,4756.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,1410.0,21,70.0,6,21.0,163.0,189.0,542.0,398.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,768.0,-,1.0,-,5.0,54.0,10.0,446.0,252.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Canaã dos Carajás,34945.0,5249,2377.0,43,10837.0,2846.0,8538.0,4694.0,361.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Curionópolis,4342.0,1152,171.0,5,42.0,266.0,254.0,1857.0,595.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Eldorado do Carajás,2669.0,29,168.0,11,11.0,615.0,303.0,1372.0,160.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Marabá,67888.0,3678,7732.0,369,6284.0,15556.0,21181.0,11925.0,1163.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Palestina do Pará,722.0,20,21.0,-,,54.0,9.0,490.0,128.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Parauapebas,80334.0,8354,6372.0,365,14945.0,13191.0,26369.0,10498.0,240.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
Piçarra,1238.0,24,48.0,-,11.0,130.0,58.0,373.0,594.0,4 Carajás,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri carajas.xlsx,Carajás
