Par,913,97,978,981,97_2,67,09,0,15,11,2,21,22,04,19,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,92.7,9599166666666668.0,-,98.55,9598333333333336.0,5.65,13.0,-,1.4,1.3666666666666664e+16,1.65,2.7083333333333332e+16,-,0.05,265.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Bom Jesus do Tocantins,-,992.0,-,-,992.0,-,2.0,-,-,2.0,-,6.0,-,-,6.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Brejo Grande do Araguaia,-,996.0,-,-,996.0,-,4.0,-,-,4.0,-,0.0,-,-,0.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Canaã dos Carajás,-,959.0,-,98.2,96.0,-,0.0,-,1.8,1.0,-,41.0,-,0,39.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Curionópolis,-,96.0,-,-,96.0,-,16.0,-,-,16.0,-,24.0,-,-,24.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Eldorado do Carajás,-,974.0,-,-,974.0,-,24.0,-,-,24.0,-,2.0,-,-,2.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Marabá,91.4,987.0,-,97.7,982.0,7,2.0,-,2.3,8.0,1.6,11.0,-,0,1.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Palestina do Pará,-,972.0,-,-,972.0,-,28.0,-,-,28.0,-,0.0,-,-,0.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Parauapebas,94,967.0,-,98.3,968.0,4.3,8.0,-,1.5,1.0,1.7,25.0,-,0.2,22.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Piçarra,-,961.0,-,-,961.0,-,3.0,-,-,3.0,-,9.0,-,-,9.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
São Domingos do Araguaia,-,937.0,-,100,939.0,-,22.0,-,0,21.0,-,41.0,-,0,4.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
São Geraldo do Araguaia,-,932.0,-,-,932.0,-,0.0,-,-,0.0,-,68.0,-,-,68.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
São João do Araguaia,-,882.0,-,-,882.0,-,2.0,-,-,2.0,-,98.0,-,-,98.0,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Fonte: MEC - INEP,,,,,,,,,,,,,,,,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
Elaboração: FAPESPA,,,,,,,,,,,,,,,,4 Carajás,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás
