EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,5873641911584.0,5671654857142.0,1941808253785.0,2901290031488.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
RI Carajás,8163706116050001.0,777771568101.0,6.114713548809999e+16,11324197702.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
Bom Jesus do Tocantins,1189089941.0,1188012629.0,10479873094.0,1228696525.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
Brejo Grande do Araguaia,5392410623.0,5314385169.0,5099049324.0,169252676.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
Canaã dos Carajás,210454240213.0,210172056889.0,164903713737.0,33799347162.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
Curionópolis,26992789932.0,23114801965.0,22471289015.0,190693971.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
Eldorado do Carajás,18581217415.0,17069828014.0,15740530625.0,831184977.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
Marabá,191017305968.0,17198965287.0,118024700169.0,29250030768.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
Palestina do Pará,535896093.0,5045768191.0,4738308208.0,81122102.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
Parauapebas,299844846101.0,288485423701.0,228386125464.0,45862603388.0,4 Carajás,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri carajas.xlsx",Carajás
