EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
RI Carajás,5698908713.0,8.0,,2238847700633808.0,100.0,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
Bom Jesus do Tocantins,336973823.0,109.0,9.0,1323820237857763.0,5912953513912514.0,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
Brejo Grande do Araguaia,143221297.0,134.0,11.0,5626527597095790.0,2.51313548282134e+16,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
Canaã dos Carajás,16621560.0,3.0,2.0,6529871465050588.0,2.916621556348836e+16,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
Curionópolis,737805926.0,60.0,5.0,2898511248602794.0,1294644226037456.0,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
Eldorado do Carajás,736063654.0,61.0,6.0,2.8916666370157e+16,1.2915870231803096e+16,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
Marabá,9748964708.0,5.0,3.0,3829934522424757.0,1710672200409398.0,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
Palestina do Pará,12759248.0,137.0,12.0,5.01254090655171e+16,2.238893206149168e+16,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
Parauapebas,26421066668.0,2.0,1.0,1.0379661675051706e+16,4636162465233017.0,4 Carajás,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri carajas.xlsx",Carajás
