Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,21320,15601,70569,4610,96067,161718,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
São Domingos do Araguaia,-,-,-,-,-,-,-,-,-,165,99,594,-,-,-,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,266576,1900.0
São Geraldo do Araguaia,5,150,360,-,-,-,-,-,-,40,24,84,40,860,1204,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,266576,600.0
São João do Araguaia,10,200,560,-,-,-,-,-,-,50,40,200,40,900,1800,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,266576,650.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,266576,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,266576,
Nota: A quantidade produzida de abacaxi é expressa em mil frutos,,,,,,,,,,,,,,,,,,,,,,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,266576,
RI Carajás,221,5450,11545,250,380,541,0,0,0,1068,665,2769,434,9775,18670,3640,10860,21854,6,210,630,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,215749.0
Bom Jesus do Tocantins,12,240,480,75,142,213,-,-,-,40,38,266,10,220,286,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,1540.0
Brejo Grande do Araguaia,-,-,-,-,-,-,-,-,-,35,21,74,5,120,180,700,2226,4080,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,724.0
Canaã dos Carajás,13,260,780,-,-,-,-,-,-,8,5,15,55,1210,2420,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,2600.0
Curionópolis,-,-,-,-,-,-,-,-,-,-,-,-,20,500,850,2200,6160,13386,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,7140.0
Eldorado do Carajás,100,2500,5000,75,98,118,-,-,-,40,24,84,50,1250,2500,-,-,-,-,-,-,4 Carajás,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri carajas.xlsx",Carajás,3966227,10680.0
