EstadoMunicpios,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,745689,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,511007.0
RI Carajás,0,50050,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,170734.0
Bom Jesus do Tocantins,-,650,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,21476.0
Brejo Grande do Araguaia,-,-,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,4960.0
Canaã dos Carajás,-,5000,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,14987.0
Curionópolis,-,5900,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,16110.0
Eldorado do Carajás,-,15000,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,25773.0
Marabá,-,18500,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,23879.0
Palestina do Pará,-,-,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,3460.0
Parauapebas,-,5000,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,5790.0
Piçarra,-,-,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,13122.0
São Domingos do Araguaia,-,-,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,15136.0
São Geraldo do Araguaia,-,-,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,20051.0
São João do Araguaia,-,-,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,5990.0
Fonte: IBGE/PPM,,,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,
Elaboração: FAPESPA,,,4 Carajás,46,Producao de Origem Animal por Tipo - 2024 ri carajas,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri carajas.xlsx,Carajás,Leite_Mil_litros,
