Par,11594095548461563,2695653,4465,153055,211031,3064204,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,140285051368578.0,275473.0,557.0,13050.0,21244.0,310324.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Bom Jesus do Tocantins,1464738389064.0,4070.0,9.0,196.0,1173.0,5448.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Brejo Grande do Araguaia,7729379015350001.0,2099.0,5.0,101.0,453.0,2658.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Canaã dos Carajás,13777206876256.0,27729.0,76.0,1235.0,1052.0,30092.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Curionópolis,502654590198.0,6883.0,19.0,298.0,947.0,8147.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Eldorado do Carajás,2655264403715.0,7508.0,12.0,416.0,2120.0,10056.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Marabá,65477845663837.0,105087.0,225.0,5724.0,6121.0,117157.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Palestina do Pará,6690686803839999.0,2296.0,9.0,112.0,507.0,2924.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Parauapebas,4012062654480201.0,99352.0,170.0,3945.0,3609.0,107076.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Piçarra,1185069069147.0,2795.0,11.0,140.0,1177.0,4123.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
São Domingos do Araguaia,2.4674923022170004e+16,7363.0,7.0,308.0,1091.0,8769.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
São Geraldo do Araguaia,5678315569462.0,7507.0,8.0,443.0,1568.0,9526.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
São João do Araguaia,9899400661789996.0,2784.0,6.0,132.0,1426.0,4348.0,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Fonte: Equatorial Energia,,,,,,,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
Elaboração: FAPESPA,,,,,,,4 Carajás,49,Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,20,Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 49 - Consumo de Energia Elétrica Total e Consumidores de Energia Elétrica por Tipo - 2024 ri carajás.xlsx,Carajás
