EstadoMunicpios,_Participao_PIB_Estadual,_Participao_VA_Agropecuria_Estadual,_Participao_VA_Industrial_Estadual,_Participao_VA_Servios_Estadual_Exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica_Estadual,_Participao_VA_Total_Estadual,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,100.0,100.0,100.0,100.0,100.0,100.0,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
RI Carajás,3974512731335657.0,7895512086893273.0,7318551295179714.0,2.004663978848037e+16,1.1191099282019216e+16,4.1989263566379384e+16,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,9267764034613950.0,3.717737040703133e+16,6291960744370600.0,7418511746253870.0,2.182693313463818e+16,966668240727609.0,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,43732112410073.0,1820511225138621.0,2.7458263427866e+16,3.40862490825799e+16,1007099627882682.0,4555476835554170.0,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
Canaã dos Carajás,1.3308197977933028e+16,4.568575386827428e+16,2.7737479833696776e+16,4735916796778291.0,1.0264192859762132e+16,1.4353654648994092e+16,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
Curionópolis,1.3947969149493332e+16,4475923375152865.0,2.7504000206270544e+16,5213761090347246.0,2764915118459393.0,1.5068684731897816e+16,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
Eldorado do Carajás,2.113453552161517e+16,6431127201733003.0,434145553665767.0,2.156767912840025e+16,4.096427886914117e+16,2.11163074520472e+16,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
Marabá,5142361741989144.0,2.505984649950709e+16,5946496816716169.0,5251993113055149.0,3.5497899833040068e+16,5014403169668493.0,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
Palestina do Pará,3.75319065202401e+16,1.68233607747324e+16,2090667722718000.0,2.29128612782568e+16,9360228505538670.0,3966346342064650.0,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
Parauapebas,1892556582638117.0,9803135324207260.0,3.652443422357685e+16,8734889678896726.0,4522642012113525.0,2013766658427783.0,4 Carajás,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri carajas.xlsx,Carajás
