Par,48,42,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,4933333333333334.0,4316666666666666.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,49.0,45.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,57.0,46.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Canaã dos Carajás,52.0,44.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Curionópolis,57.0,5.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Eldorado do Carajás,51.0,43.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Marabá,54.0,46.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Palestina do Pará,43.0,46.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Parauapebas,52.0,45.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
Piçarra,51.0,39.0,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás
